Gene	Plus.Anc.1	Plus.Anc.2	Plus.Anc.3	Plus.Anc.4	Plus.Ev.1	Plus.Ev.2	Plus.Ev.3	Plus.Ev.4	Minus.Anc.1	Minus.Anc.2	Minus.Anc.3	Minus.Anc.4	Minus.Ev.1	Minus.Ev.2	Minus.Ev.3	Minus.Ev.4		Minus.spoT.Anc.1	Minus.spoT.Anc.2	Minus.spoT.Anc.3	Minus.spoT.Anc.4	Minus.Anc.1	Minus.Anc.2	Minus.Anc.3	Minus.Anc.4
phoE	-3.813607492	-3.945575774	-4.295290779	-4.464659131	-3.980883628	-4.069328059	-4.433570831	-4.384670713	-3.796987011	-4.226333201	-4.270780331	-4.421341267	-4.171924971	-4.293771663	-4.481157089	-4.615745424		-4.182764538	-4.16212715	-4.1218698	-4.005291496	-4.224460083	-4.265186497	-4.198373784	-4.130580559
dsbC	-3.669001199	-3.732542167	-3.812803869	-3.980082957	-3.665210333	-3.681501358	-3.859568486	-3.699229685	-3.72354722	-3.689006191	-3.735484034	-3.883564166	-3.602911928	-3.79759063	-3.874808667	-3.934718243		-3.673122026	-3.67638889	-3.587364397	-3.492231339	-3.66174406	-3.672910184	-3.64174979	-3.590817768
b2291	-3.681127465	-3.680057943	-3.656454721	-3.820098681	-3.583930547	-3.608987862	-3.583253093	-3.514127136	-3.525208408	-3.669443492	-3.707378226	-3.733219844	-3.504916552	-3.592461332	-3.444987778	-3.724528064		-3.673374412	-3.616827289	-3.636173902	-3.594700541	-3.726120435	-3.730231067	-3.712574498	-3.670664342
potD	-3.679895623	-3.731826763	-3.67342215	-3.803149641	-3.641635255	-3.643171972	-3.67962368	-3.5594872	-3.650317647	-3.722669809	-3.578878523	-3.772390765	-3.558059027	-3.709770369	-3.828109724	-3.776824794		-3.854893115	-3.849700536	-3.896217978	-3.84748473	-3.872692088	-3.899537783	-3.886051652	-3.850365344
gatR_	-3.975626967	-4.037094874	-3.968704786	-4.157432847	-3.878690141	-4.019498103	-3.906952266	-3.822901342	-4.012016605	-4.065679455	-3.98453862	-4.102856833	-3.860880795	-3.959810952	-4.031640087	-4.104285944		-4.11092465	-4.079528105	-4.062789949	-4.055601701	-4.142600915	-4.08203854	-4.103979712	-4.017642674
phoQ	-4.277880743	-3.957655577	-3.866415569	-3.775204656	-4.488884512	-3.886381545	-3.951144549	-3.619736922	-4.141760078	-3.855143549	-3.966663318	-3.790977854	-3.822488093	-3.754513664	-3.829591282	-3.951477943		-3.949961519	-3.919588529	-4.116176561	-4.172266732	-3.889255967	-3.876608278	-3.927939168	-4.006349859
yegE	-4.134053091	-4.25505463	-4.136911948	-4.297403532	-4.203581246	-4.180431943	-4.118974761	-4.037189828	-4.103043294	-4.154642268	-4.130988549	-4.069878501	-4.0730455	-4.136980306	-4.158933638	-4.217744944		-3.900876548	-3.935649963	-3.776989939	-3.731705655	-3.955457623	-3.940391288	-3.817495022	-3.813618514
nfrA	-4.337988572	-4.563292203	-4.52815842	-4.708180904	-4.323420496	-4.410044303	-4.48979689	-4.394369177	-4.380417469	-4.454516578	-4.446080907	-4.363178893	-4.405399897	-4.485416307	-4.696698009	-4.613259505		-4.035631164	-4.086247027	-3.871685239	-3.818146058	-4.098201684	-4.119233734	-3.960929871	-3.920344389
b0532	-4.688365161	-4.640586118	-4.755365061	-4.630921077	-4.666301746	-4.557503233	-4.664186245	-4.550563569	-4.582255013	-4.597065721	-4.626149339	-4.434736139	-4.571188207	-4.641353392	-4.764989916	-4.880280199		-4.121908688	-4.220781698	-3.904921865	-3.887823493	-4.211229642	-4.289283931	-4.078174018	-3.996690924
dacB	-4.075433166	-4.22537181	-4.218510784	-4.230886313	-4.149580287	-4.114949027	-4.170631421	-4.054607175	-4.083354957	-4.138866664	-4.146354136	-4.098737135	-4.109949043	-4.123743287	-4.243623776	-4.308217266		-3.823503846	-3.92222845	-3.65525256	-3.640956446	-3.857758439	-3.866348263	-3.761011421	-3.717205567
yggE	-3.482463062	-3.527060749	-3.482898811	-3.581383778	-3.374145142	-3.434324721	-3.357228792	-3.281817942	-3.361815285	-3.478705593	-3.390798997	-3.497393092	-3.320827479	-3.426417793	-3.33491819	-3.507124168		-3.488740956	-3.457137593	-3.431417713	-3.434824175	-3.537609478	-3.486886215	-3.507146658	-3.454312073
narK	-4.057969901	-4.12032148	-4.089871777	-4.122280845	-4.006302371	-4.012004111	-3.964875986	-3.890095541	-4.049931156	-4.09702408	-3.99785585	-4.007921364	-3.92660949	-4.036918304	-4.119232185	-4.06563807		-4.004961801	-4.055193026	-3.888952922	-3.862033893	-4.017029932	-4.038492014	-3.956308987	-3.913501672
yeiQ	-3.662274327	-3.82115555	-3.703661027	-3.856771513	-3.587412794	-3.68013471	-3.571156709	-3.533410818	-3.631353423	-3.714740102	-3.62093824	-3.755240966	-3.52445806	-3.660856366	-3.67853488	-3.818102571		-3.720694094	-3.776504159	-3.659503514	-3.668714621	-3.733607856	-3.724999292	-3.677530779	-3.648947347
osmE	-4.291520512	-4.168078423	-4.205658794	-4.28307494	-4.236347158	-4.11884516	-4.214453924	-4.103938659	-4.053882482	-4.242354976	-4.283808608	-4.28738866	-4.086719665	-4.15444851	-4.13670313	-4.388351982		-4.205924518	-4.325223162	-4.171082944	-4.19786453	-4.256252683	-4.223355898	-4.232124256	-4.167159635
b2326	-4.217954172	-4.218320384	-4.227204174	-4.278907349	-4.249859084	-4.19416234	-4.257912394	-4.117524822	-4.24843166	-4.186356656	-4.22092353	-4.14006852	-4.166491119	-4.160348299	-4.33965992	-4.325308696		-4.046630191	-4.209740028	-3.918208132	-3.885860828	-4.062782714	-4.031343767	-3.967795323	-3.95616864
insB_	-3.281960301	-3.412700736	-3.354672636	-3.517212649	-3.31187739	-3.370114163	-3.374312664	-3.29926868	-3.307733808	-3.312451153	-3.271008375	-3.221257081	-3.250858415	-3.298584633	-3.357258734	-3.429508368		-2.936023262	-3.076910026	-2.738665589	-2.733245311	-2.954953414	-2.930469981	-2.812405506	-2.750358248
mrdA	-3.835135432	-3.674702719	-3.761846202	-3.792731654	-3.861909794	-3.622199907	-3.731375354	-3.670868088	-3.60034103	-3.733069266	-3.673569173	-3.74040597	-3.594074555	-3.781178951	-3.945607384	-3.800271113		-3.730777991	-3.856343583	-3.619131744	-3.652519524	-3.735064693	-3.713790753	-3.685737505	-3.645824785
acrE	-4.344930087	-4.405810415	-4.414763184	-4.623121474	-4.304551726	-4.454336744	-4.492205452	-4.47144015	-4.323177133	-4.475472086	-4.484563915	-4.352666079	-4.323599623	-4.484201461	-4.479071829	-4.676639141		-4.051986981	-4.196195903	-3.802236489	-3.780949406	-4.137551909	-4.123543838	-3.953644969	-3.904898485
yjbB	-3.136286609	-3.124497135	-2.906097027	-3.110221662	-3.079275469	-3.040465433	-2.855248434	-2.866239454	-2.94409679	-3.001856605	-2.779616544	-3.021973312	-2.840164948	-3.024396343	-2.991235717	-3.026334292		-3.190888232	-3.193730665	-3.160406004	-3.180534544	-3.210293835	-3.138094912	-3.197408497	-3.149010646
sapF	-4.138849251	-4.183473715	-4.128776157	-4.160166772	-4.128778999	-4.115779845	-4.081714203	-3.937581986	-4.157853259	-4.089288274	-4.055298182	-4.080777747	-4.02400467	-4.033392251	-4.171052219	-4.199603515		-4.134508141	-4.238574499	-4.121235517	-4.099063748	-4.196671083	-4.123151157	-4.074755417	-4.076339755
eutE	-3.519292762	-3.654714737	-3.566009759	-3.665297958	-3.495677915	-3.528795036	-3.453266324	-3.345336419	-3.52769288	-3.556237201	-3.484752337	-3.592094674	-3.435261178	-3.529210202	-3.533719166	-3.608420742		-3.544866046	-3.58231785	-3.509054295	-3.467960728	-3.567190311	-3.536539784	-3.57267825	-3.47128016
relA	-3.593038661	-3.657202503	-3.315566454	-3.41028103	-3.463275812	-3.503895381	-3.217602957	-3.044219336	-3.551599421	-3.512187924	-3.323802165	-3.428597098	-3.287934683	-3.302246674	-3.295921175	-3.377677036		-3.489489112	-3.576720279	-3.536155155	-3.492640641	-3.503698283	-3.466840081	-3.51065057	-3.44813566
yfiE	-4.595530604	-4.383641146	-4.431477214	-4.444434546	-4.657351917	-4.204711053	-4.450537749	-4.405342304	-4.361428108	-4.497123614	-4.387090988	-4.40409597	-4.323567116	-4.333853	-4.346601594	-4.553199369		-4.136573663	-4.311950427	-4.046626538	-4.01444975	-4.297883426	-4.325243918	-4.141092243	-4.086927958
pspA	-3.660590731	-3.751414028	-3.712235763	-3.801210687	-3.57253838	-3.63300791	-3.602417247	-3.513486933	-3.631655543	-3.709538017	-3.615426606	-3.800244016	-3.592439944	-3.671750167	-3.7377999	-3.776311511		-3.686657152	-3.720884356	-3.701011759	-3.618902858	-3.700313522	-3.67358949	-3.676884375	-3.603077668
kdsB	-3.943850876	-4.105983563	-4.058053997	-4.326218453	-4.110768261	-4.031802485	-4.015276226	-3.993712478	-4.039544795	-4.137266221	-3.939960634	-4.259315108	-3.981565911	-4.116050457	-4.249223671	-4.194875369		-3.945716168	-4.173278604	-3.993079448	-3.912794515	-4.02336845	-4.055395894	-3.989145437	-3.934936834
yiaD	-4.082503846	-4.061722377	-4.144687239	-4.122328917	-4.182030542	-3.962508398	-4.160994174	-4.043473097	-3.958904813	-4.115547619	-4.044608226	-4.154371038	-3.933174794	-4.14209946	-4.155047057	-4.165019827		-4.036369797	-4.226480577	-3.928033884	-3.860927809	-4.092522805	-4.08464724	-3.933051088	-3.946995172
nhaA	-3.648089323	-3.675254748	-3.637314499	-3.689119287	-3.609981586	-3.578405203	-3.555003902	-3.439774091	-3.561836355	-3.605230358	-3.596752594	-3.70840874	-3.487282623	-3.53826654	-3.519107235	-3.700459083		-3.568000694	-3.604255209	-3.530573787	-3.461282084	-3.612824227	-3.602373412	-3.550492961	-3.515036573
b1453	-3.739106948	-3.800096974	-3.736929933	-3.815717458	-3.672799942	-3.700491988	-3.613987788	-3.554737758	-3.686328778	-3.753159115	-3.61579495	-3.816210391	-3.592716425	-3.720935416	-3.768425155	-3.707242355		-3.816524595	-3.845760229	-3.772060511	-3.726566923	-3.840455868	-3.801136812	-3.791410662	-3.772158974
ascB	-3.686571973	-3.763407918	-3.718237558	-3.80870054	-3.671864083	-3.650269451	-3.574081117	-3.519239607	-3.637630001	-3.742371081	-3.637416811	-3.745590324	-3.571036488	-3.682895169	-3.697652687	-3.803606112		-3.681898822	-3.714918617	-3.606285079	-3.603218751	-3.716755385	-3.690029052	-3.700954808	-3.733770255
ompR	-3.953436328	-3.981890487	-4.019571247	-4.063957211	-4.017464936	-3.946141483	-3.963981603	-3.886992309	-3.938998538	-3.967096408	-3.975141614	-3.992765091	-3.842094252	-3.985969634	-4.027330649	-3.989028852		-3.924261214	-4.042026584	-3.815048748	-3.764149568	-3.9427415	-3.927467748	-3.867899181	-3.870791305
b2847	-3.600968189	-3.682566742	-3.643799192	-3.701214246	-3.554964178	-3.577593629	-3.516140988	-3.424874995	-3.617421198	-3.656408301	-3.600219738	-3.651025768	-3.5040368	-3.599604411	-3.64101904	-3.685588386		-3.691106581	-3.700857506	-3.712035869	-3.705172232	-3.70570972	-3.670642515	-3.692113311	-3.755862859
sieB	-3.619185284	-3.742175217	-3.717430966	-3.808656038	-3.59732674	-3.650568649	-3.612376495	-3.542269066	-3.660227615	-3.735718831	-3.645935354	-3.736111822	-3.574286851	-3.695150223	-3.720982192	-3.739368661		-3.642626714	-3.678793469	-3.581640563	-3.56897193	-3.659722934	-3.629152424	-3.616554004	-3.645092311
b0983	-4.642557363	-4.543115743	-4.511706877	-4.673456184	-4.668265979	-4.613451525	-4.491932584	-4.432829592	-4.598266992	-4.638060586	-4.412922209	-4.441434442	-4.464875979	-4.426569637	-4.498584997	-4.413068051		-4.13696433	-4.537846043	-4.012728431	-3.855570809	-4.204096298	-4.22590199	-4.07146304	-4.016792417
rfaL	-5.082376808	-5.22641865	-5.183825032	-5.368171925	-4.891133226	-4.906868347	-5.015703019	-5.083432496	-5.129662137	-5.263957362	-4.7165596	-5.116379713	-5.068456594	-5.149018253	-5.312952959	-5.284965586		-5.245173632	-5.317329217	-5.233105115	-5.174682228	-5.458590947	-5.400692812	-5.282381881	-5.217227033
fhuD	-3.630279447	-3.675570311	-3.615156251	-3.721396805	-3.486310512	-3.564897547	-3.500647174	-3.438870604	-3.519951507	-3.613530844	-3.564918109	-3.62516902	-3.473758515	-3.562093472	-3.469433794	-3.651141984		-3.648526371	-3.661825658	-3.569605707	-3.538582221	-3.685715747	-3.61602063	-3.655894409	-3.589004263
btuD	-4.353233214	-4.455962106	-4.494853556	-4.558061077	-4.379040963	-4.323975317	-4.392809083	-4.347873496	-4.378638177	-4.472520464	-4.318670233	-4.324132642	-4.379541094	-4.430523242	-4.473393126	-4.649225508		-4.336916226	-4.456890357	-4.18083229	-4.133235633	-4.3981791	-4.358190014	-4.260286736	-4.214200029
fucU	-3.794225696	-3.902294909	-3.862033454	-3.962431094	-3.674369801	-3.792952428	-3.72430604	-3.662260597	-3.767840042	-3.82909071	-3.768655279	-3.977317434	-3.67687714	-3.796902421	-3.834425614	-3.907676682		-3.837427885	-3.861878611	-3.849746354	-3.845640934	-3.86072653	-3.840263327	-3.859645023	-3.794928886
lexA	-3.555202168	-3.537394922	-3.351985273	-3.428242825	-3.345399186	-3.470820149	-3.315193556	-3.145125509	-3.557661703	-3.463635712	-3.296708588	-3.490540273	-3.328645062	-3.323698944	-3.29771062	-3.351964382		-3.485707344	-3.634197681	-3.583845151	-3.552310465	-3.457197299	-3.453813455	-3.501270874	-3.460178257
yhaJ	-3.375758128	-3.450817831	-3.409261338	-3.513635527	-3.321087221	-3.364346615	-3.309628269	-3.22435125	-3.366539905	-3.415704137	-3.329450191	-3.503709755	-3.275038287	-3.387707039	-3.421367456	-3.471848463		-3.389021292	-3.42836183	-3.353038809	-3.318367585	-3.396687572	-3.35249246	-3.363374288	-3.306246368
insB_	-3.26736088	-3.411031284	-3.3929909	-3.55235919	-3.344360693	-3.372379753	-3.386612236	-3.302644226	-3.350555037	-3.324198721	-3.307068058	-3.285986181	-3.250118138	-3.31457824	-3.365184786	-3.451956009		-2.913917848	-3.128269781	-2.757988018	-2.6869837	-2.943005773	-2.91594192	-2.786516752	-2.749575897
insB_	-3.457109478	-3.734545339	-3.643363797	-3.778368881	-3.564215941	-3.833831978	-3.891205973	-3.808592435	-3.516938068	-3.575908542	-3.514034493	-3.496255522	-3.549435809	-3.611020166	-3.67444991	-3.709298137		-3.051682427	-3.093147102	-2.863592767	-2.817475812	-3.041516642	-3.085084233	-2.924831312	-2.946924594
fliN	-3.757939936	-3.837072677	-3.50332883	-3.564369908	-3.518675602	-3.933379453	-3.785561099	-3.694990009	-3.846408328	-3.691478133	-3.571247331	-3.476198995	-3.528759949	-3.519710477	-3.397756913	-3.490050876		-3.600995467	-3.641964975	-3.671816851	-3.646388099	-3.5614522	-3.598087892	-3.602044285	-3.663630322
