locus_tag,possible.G.to.A,possible.G.to.T,possible.G.to.C,possible.A.to.G,possible.A.to.T,possible.A.to.C,possible.T.to.G,possible.T.to.A,possible.T.to.C,possible.C.to.G,possible.C.to.A,possible.C.to.T,gene.length,gene
ECB_00001,2,1,1,2,1,1,2,5,5,9,10,12,66,thrL
ECB_00002,210,149,149,124,43,45,98,128,246,143,166,283,2463,thrA
ECB_00003,94,62,62,45,21,22,35,42,86,42,59,96,933,thrB
ECB_00004,139,96,96,73,25,25,36,44,117,55,65,137,1287,thrC
ECB_00005,13,9,9,25,13,13,12,13,29,15,17,27,297,yaaX
ECB_00006,77,46,46,39,12,12,20,28,75,33,45,84,777,yaaA
ECB_00007,111,82,82,54,37,37,48,69,143,91,110,167,1431,yaaJ
ECB_00008,81,55,55,59,19,19,50,60,83,34,50,113,954,talB
ECB_00009,57,39,39,40,18,20,28,33,55,22,29,56,588,mogA
ECB_00010,46,39,39,20,9,9,29,38,55,29,35,87,567,yaaH
ECB_00011,66,36,36,47,18,19,17,22,70,39,45,78,714,yaaW
ECB_00012,34,22,22,32,20,23,11,11,47,16,28,60,486,htgA
ECB_00013,23,20,20,24,8,8,12,19,37,23,26,54,405,yaaI
ECB_00014,144,93,93,121,34,34,135,146,180,63,95,225,1917,dnaK
ECB_00015,88,46,46,65,20,20,61,66,105,62,70,130,1131,dnaJ
ECB_00016,67,46,46,98,62,65,53,60,116,49,67,106,1113,insL-1
ECB_00017,22,11,11,12,5,8,10,11,15,9,14,22,210,mokC
ECB_00018,110,85,85,58,35,35,53,75,136,44,64,121,1167,nhaA
ECB_00019,61,38,38,67,27,28,31,41,98,39,50,85,906,nhaR
ECB_00020,38,14,14,84,43,44,36,48,139,29,39,67,960,ECB_00020
ECB_00021,40,22,22,81,39,42,53,71,173,37,44,87,1146,ECB_00021
ECB_00022,24,10,10,67,37,40,22,27,86,17,23,55,705,ECB_00022
ECB_00023,12,9,9,16,6,6,17,20,29,18,22,35,276,insA-1
ECB_00024,61,45,45,25,14,17,10,11,29,18,27,55,504,insB-1
ECB_00025,13,5,5,40,21,26,7,8,50,4,5,14,351,ECB_00025
ECB_00026,17,8,8,8,3,5,10,10,20,3,5,10,165,ECB_00026
ECB_00027,16,5,5,22,8,8,22,23,27,4,10,25,264,rpsT
ECB_00028,14,10,10,16,12,12,6,9,21,10,13,22,219,yaaY
